Year,Event name,Entites,Terms
1995,Israeli prime minister Yitzhak Rabin slain by a Jewish extremist at a peace rally (Nov. 4).,"israel, israeli, yitzhak, jewish, jew",Yitzhak Rabin
1995,U.S. servicemen admit rape of Japanese schoolgirl in Okinawa (Nov. 7).,"rape, japanese, okinawa",okinawa rape
1995,Irish voters approve end to constitutional ban on divorce (Nov. 24).,"irish, ireland, divorce",divorce ban
1995,Combatants sign Bosnia peace treaty (Dec. 14).,bosnia,"Dayton Accord, Dayton Accords"
1996,U.S. budget crisis in fourth month (Jan. 3).,budget,"budget, budget crisis"
1996,France announces end to nuclear tests (Jan. 29).,nuclear,"nuclear test, nuclear testing"
1996,Suicide bombers kill 59 in Israel (March 4).,"suicide, bomber","suicide bombing, suicide bomber"
1996,Britain alarmed by deadly cow disease (March 20 et seq.).,disease,cow disease
1996,FBI arrests suspected Unabomber (April 3).,unabomber,unabomber
1996,President blocks ban on late-term abortions (April 10).,abortion,"abortion, lateterm abortion"
1996,Israel elects Benjamin Netanyahu as prime minister (May 31).,"israel, netanyahu","Benjamin Netanyahu, Netanyahu"
1996,China agrees to world ban on atomic testing (June 6).,"china, atomic, chinese","atomic testing, nuclear testing"
1996,Truck bomb kills 19 at U.S. base in Saudi Arabia (June 25).,"truck, bomb, saudi, arabia","Khobar Tower, truck bombing, truck bomb"
1996,Boris Yeltsin is reelected in Russian election (July 3).,"yeltsin, russia, russian",Boris Yeltsin
1996,Prince Charles and Princess Diana agree on divorce (July 12).,"prince, charles, princess, diana","Prince Charles, Princess Diana"
1996,Clinton signs bill to raise minimum wage (Aug. 2).,"clinton, wage",minimum wage
1996,Congress passes welfare reform bill (Aug. 2); approved by Clinton (Aug. 22).,"welfare, clinton",welfare reform
1996,"Iraqis strike at Kurdish enclave (Aug. 31); after warning, U.S. attacks Iraq's southern","iraqi, iraq, kurdish, kurd","Operation Desert, saddam hussein, kurdish enclave"
1997,Newt Gingrich reelected as House Speaker (Jan. 7).,gingrich,"Newt Gingrich, Gingrich"
1997,"Deng Xiaoping, Chinese leader, dead at 92 (Feb. 19).",xiaoping,Deng Xiaoping
1997,Heaven's Gate cult members commit mass suicide in California (March 27).,cult,"Heaven Gate, Heavens Gate"
1997,U.S. judge upholds California marijuana law (April 11).,marijuana,"marijuana law, marijuana"
1997,"Senate, 74–26, approves chemical-weapons treaty (April 24).",chemical,chemical weapon
1997,Congress votes major tax cuts (June 26).,tax,tax cut
1997,Hong Kong returns to Chinese rule (June 30).,"hong, kong, returns, chinese, china",hong kong
1997,U.S. spacecraft begins exploration of Mars (July 4).,"spacecraft, space",Mars Pathfinder
1997,U.S. spacecraft transmits thousands of pictures from Mars (Aug. 8).,"spacecraft, space, mars",Mars Pathfinder
1996,U.S. budget crisis in fourth month (Jan. 3).,"clinton, budget","budget, budget crisis"
1996,Violence flares in Jerusalem over Israel opening tourist tunnel (Sept. 24).,"jerusalem, israel, ","tunnel riot, tunnel opening"
1996,Taliban Muslim fundamentalists capture Afghan capital (Sept. 27).,"taliban, muslim, afghan",Taliban
1996,Texaco settles racial bias suit (Nov. 15).,"texaco, racial, bias","Texaco, bias suit"
1996,Clinton appoints Madeleine Albright as first female U.S. secretary of state (Dec. 5).,"clinton, madeleine, albright", Madeleine Albright
1996,FBI agent charged with spying for Moscow (Dec. 18).,"spy, moscow",Robert Hanssen
1997,Timothy J. McVeigh sentenced to death for Oklahoma City bombing (Aug. 14).,"mcveigh, oklahoma, bombing","oklahoma City, Oklahoma bombing, Timothy McVeigh "
1997,"Princess Diana, 36, killed with two others in Paris car crash (Aug. 31).","diana, queen, king, charles","princess diana, prince charles"
1997,Three Islamic suicide bombers kill four persons in Jerusalem (Sept. 4).,"islamic, suicide, bomber, jerusalem","suicide bombing, suicide bomber"
1997,Mother Teresa dead at 87 (Sept. 5).,teresa,Mother Teresa
1997,Militant Taliban leaders seize Kabul (Sept. 27).,"taliban, kabul","Taliban, kabul"
1997,Pakistani convicted in 1993 CIA killings (Nov. 10).,"pakistani,pakistan",cia killing
1997,Egyptian Islamic militants kill 62 at Luxor tourist site (Nov. 17).,"egyptian, islamic, luxor",Luxor massacre
1997,U.S. company launches first commercial spy satellite (Dec. 24).,"spy, satellite",satellite
1998,Ramzi Ahmed Yousef sentenced to life for 1993 World Trade Center bombing (Jan. 9).,"ramzi, ahmed, yousef",ramzi yousef
1998,"Palestine, Israel, intifada","president, clinton, scandal, monica, lewinsky","ClintonLewinsky, clinton lewinsky, ClintonLewinsky,  monica lewinsky"
1998,Serbs battle ethnic Albanians in Kosovo (March 5 et seq.).,"serbs, serbia, ethnic, albanian, albania, kosovo",Kosovo conflict
1998,Hindu nationalist Vajpayee becomes India's prime minister (March 19).,"hindu, vajpayee, india",Vajpayee
1998,"FDA approves Viagra, male impotence drug (March 27).","fda, viagra",viagra
1998,"Landmark peace settlement, the Good Friday Accord, reached in Northern Ireland (April 10).","friday, ireland",Good Friday
1998,"Europeans agree on single currency, the euro (May 3).","currency, euro",euro
1998,"Unabomber, Theodore Kaczynski, sentenced to four life terms (May 4).","unabomber, kaczynski","Unabomber, Theodore Kaczynski"
1998,"India conducts three atomic tests despite worldwide disapproval (May 11, 13).","india, atomic","Pokhran, Pokhranii"
1998,"Pakistan stages five nuclear tests in response to India's (May 29, 30).","pakistan, nuclear, india","IndiaPakistan, india pakistan"
1998,Congress votes to overhaul IRS (July 9).,irs,"IRS overhaul, irs, overhaul irs"
1998,U.S. embassies in Kenya and Tanzania bombed (Aug. 7).,"kenya, tanzania, bomb",Embassy Bombing
1998,Clinton admits to affair with White House intern in televised address to nation (Aug. 17).,"clinton, affair, intern","clintonLewinsky, clinton lewinsky, ClintonLewinsky, monica lewinsky"
1998,Russia fights to avert financial collapse (Aug. 17).,russia,"russian financial, russian economic"
1998,North Korea fires missile across Japan (Aug. 31).,"korea, japan",north korea
1998,Starr Report by independent counsel outlines case for impeachment proceedings against president (Sept. 11).,"starr, impeachment, president","Starr, impeachment "
1998,Senate sustains veto of bill to outlaw late-term abortions (Sept. 18).,abortion,"abortion, lateterm abortion"
1998,Iran lifts death threat against Salman Rushdie (Sept. 24).,"iran, salman, rushdie","Salman Rushdie, Satanic Verse,  Satanic Verses"
1998,U.S. budget surplus largest in three decades (Oct. 5).,budget ,Budget Surplus
1998,"Matthew Shepard, gay Wyoming student, fatally beaten in hate crime (Oct. 6).",gay,"Matthew Shepard, gay, hate crime"
1998,Former Chilean dictator Pinochet arrested in London (Oct. 16).,"chilean, chile, pinochet", Pinochet
1998,Clinton orders air strikes on Iraq (Dec. 16–19).,iraq,"bombing iraq, iraq bombing"
1998,"House impeaches President Clinton along party lines on two charges, perjury and obstruction of justice (Dec. 19).","impeach, clinton, perjury","President Clinton, bill Clinton, impeachement"
1999,NBA ends 191-day labor dispute (Jan. 6).,"nba, labor","nba, labor dispute"
1999,International Olympic Committee expels six members as bribery scandal widens (Jan. 24).,olympic ,"olympic scandal, olympic"
1999,NATO launches air strikes on Serbia to end attacks against ethnic Albanians in Kosovo (March 24).,"nato, serbia, albanian, kosovo",NATO bombing
1999,“Melissa” computer virus spreads through the Internet (March 27).,"melissa, computer, internet","melissa, computer virus"
1999,NATO bombs mistakenly hit Chinese embassy in Belgrade (May 7).,"nato, chinese, embassy, belgrade",Chinese embassy
1999,Kurd leader Abdullah Ocalan sentenced to death for treason in Turkey (June 29).,"abdullah, ocalan, treason, turkey, kurdish, kurd","Abdullah Ocalan, kurd"
1999,Taiwanese leader Lee Teng-hui challenges “One China” policy (July 11).,"taiwanese, taiwan, china, chinese","one china, taiwan"
1999,Col. Eileen Collins becomes first female to head a space shuttle mission (July 16).,"eileen, collins, space shuttle, shuttle, space","Eileen Collins, shape shuttle"
1999,Falun Gong meditation sect banned by Chinese government (July 22).,"falun, gong, meditation, chinese, china",falun gong
1999,Yeltsin replaces Prime Minister Stepashin with Vladimir Putin in fourth government shakeup in 17 months (Aug. 9).,"yeltsin, vladimir, putin",Vladimir Putin
1999,Islamic militants declare independence for Dagestan and announce holy war against Russia (Aug. 10).,"dagestan, russia, islamic, muslim, islam",holy war
1999,Israeli prime minister Ehud Barak and PLO leader Yasir Arafat announce peace accord (Sept. 4).,"Oslo Accord, oslo accords, ArabIsraeli","Oslo Accord, oslo accords, ArabIsraeli"
1999,"Larry Gene Ashbrook goes on rampage in Tex. church, killing seven and himself (Sept. 15).","Wedgwood, Church shooting","Wedgwood, Church shooting"
1999,NASA accidentally loses $125 million spacecraft as it orbits Mars (Sept. 23).,"Orbiter Crash, mars orbiter","Orbiter Crash, mars orbiter"
1999,Dozens of people exposed to radiation in Japan's worst nuclear accident (Sept. 30).,"Tokaimura nuclear, Tokaimura accident","Tokaimura nuclear, Tokaimura accident"
1999,Tobacco companies admit to harm caused by cigarette smoking (Oct. 13).,"tobacco, cigarette, smoking cigratte","tobacco, cigarette, smoking cigratte"
1999,Senate rejects 1996 nuclear test-ban treaty; international leaders upset by U.S. stand (Oct. 13).,"testban, test ban","testban, test ban"
1999,Indonesia elects Muslim leader Abdurrahman Wahid president (Oct. 20).,Abdurrahman Wahid,Abdurrahman Wahid
1999,Judge finds Microsoft to be a monopoly (Nov. 5).,microsoft,microsoft
1999,New Northern Ireland government begins self-rule for the first time in 25 years (Dec. 2).,ireland,"Good Friday, northern ireland"
1999,Muslim terrorists hijack Indian Airlines jet with 189 on board (Dec. 24).,"muslim, terrorist, terrorism, hijack, indian","Indian Airline, hijack, hijacking"
2000,"Hijackers seize Afghan plane; release hostages in Stansted, England (Feb. 6–12).","hijacker, afghan","hijacker, hijacking, hijack, afghan plane, hostage crisis"
2000,Britain ends self-rule in Northern Ireland after the Irish Republican Army misses disarmament deadline (Feb. 11).,"britain, irish, northern ireland","Northern Ireland, ira"
2000,Reformists win control of the Iranian parliament for the first time since the 1979 Islamic revolution (Feb. 26).,"reformist, iranian, iran","iran, islamic revolution"
2000,Gun maker Smith & Wesson limits the manufacture and distribution of handguns in light of lawsuits (March 17).,"gun, smith, wesson, handgun",Gun Lawsuit
2000,Microsoft loses antitrust suit; appeal expected (April 3).,"microsoft, monopoly","antitrust case, antitrust suit, microsoft"
2000,Cuban boy Elián González reunited with father after the federal raid of Miami relatives' home (April 22).,"cuban, cuba, gonzalez",Elian Gonzalez
2000,Vermont approves same-sex unions (April 25).,"vermont, samesex","samesex, same sex"
2000,“I love you” virus disrupts computers worldwide (May 4).,"virus, computer",computer virus
2000,Israeli troops withdraw from the Lebanese security zone after 22 years of occupation (May 24).,"israeli, israel, lebonan, lebanese",Israeli occupation
2000,Britain restores parliamentary powers to Northern Ireland after Sinn Fein agrees to disarm (June 4).,britain ireland,Northern Ireland
2000,"Presidents of North and South Korea sign a peace accord, ending half a century of antagonism (June 15).",korea,"Korean reunification, south korea, north korea"
2000,British find 58 bodies of illegal Asian immigrants suffocated in Dutch truck that transported them (June 20).,"asian, immigrant","Asian immigrant, chinese migrant"
2000,Human genome deciphered; expected to revolutionize the practice of medicine (June 26).,"genome, medicine","Human genome, genome, genetic engineering"
2000,"Abortion pill, RU-486, wins U.S. approval (Sept. 28).",abortion,"Abortion pill, abortion"
2000,"Palestinians and Israelis clash, spurred by the visit of right-wing Israeli leader Ariel Sharon to a joint Jewish/Muslim holy site; “Al Aksa intifada” continues unabated (Sept. 30 et seq.).","palestinian, palestine, israel, israelis, sharon, jewish, jew, islam muslim, intifada","Ariel Sharon, intifada"
2000,17 U.S. sailors on navy destroyer Cole die in Yemen terrorist explosion (Oct. 12).,"yemen, terrorist, terrorism",Cole Bombing
2000,Philippine president Joseph Estrada impeached after receiving gambling payoffs (Nov. 13).,"philippine, estrada, gambling",Joseph Estrada
2000,Global warming talks collapse at the Hague conference (Nov. 25).,"global warming, warming, hague","Global warming, Hague conference, Hague climate"
2000,Mad Cow disease alarms Europe (Nov. 30 et seq.).,"cow, disease",mad cow
2001,"In the final days of the presidency, Bill Clinton issues controversial pardons, including one for Marc Rich, a billionaire fugitive financier (Jan. 20).","clinton, financier","pardongate, marc rich, bill clinton"
2001,"Libyan convicted in Flight 103 bombing over Lockerbie, Scotland (Jan. 31).","libyan, bombing",Lockerbie bombing
2001,Right-winger Ariel Sharon wins the election in Israel (Feb. 6).,"sharon, election, israel",Ariel Sharon
2001,FBI agent Robert Hanssen is charged with spying for Russia for 15 years (Feb. 20).,"fbi, hanssen, spying, russia","Robert Hanssen, russia spy"
2001,"British livestock epidemic, foot-and-mouth disease, reaches crisis levels (March 23).","livestock,  disease","livestock epidemic, footandmouth disease, mouth disease"
2001,"Bush abandons the global-warming treaty (Kyoto Protocol), angering European leaders (March 30).","global warming, warming, global warming","globalwarming treaty, Kyoto Protocol, global warming"
2001,U.S. spy plane and Chinese jet collide. The 24 crew members of the U.S. plane are detained for 11 days; the U.S. issues a formal statement of regret (April 2 et seq.).,"usa, spy, china, chinese",Hainan Island
2001,Race riots in Cincinnati continue for several days following a shooting of an unarmed black man by a white police officer (April 7 et seq.).,"race, cincinnati, black, police",Cincinnati riot
2001,"U.S. millionaire Dennis Tito becomes the first space tourist, visiting the International Space Station aboard a Russian booster (April 28).","tito, space","Dennis Tito, space station, space tourist"
2001,"Former Klansman Thomas E. Blanton convicted of the 1963 murder of four black girls in Birmingham, Ala. (May 1).","klansman, blanton","Klansman, Thomas Blanton"
2001,Balance of the Senate shifts after Jim Jeffords of Vermont changes his party affiliation from Republican to Independent. The move strips Republicans of control of the Senate and gives Democrats the narrowest of majorities (50–49–1) (June 5).,"senate,  jeffords, party","Jim Jeffords, senate"
2001,"Bush signs a new tax-cut law, cutting taxes by $1.35 trillion over 11 years, the largest tax cut in 2 decades (June 7).","tax-cut law, tax, taxcut","taxcut law, tax cut, taxcut"
2001,"Mohammad Khatami, Iran's moderate president, is reelected in a landslide (June 9).","khatami, iran","Mohammad Khatami, iran"
2001,"Without the U.S., 178 nations reach an agreement on a climate accord, which rescues, though dilutes, the 1997 Kyoto Protocol (July 23).",climate,"globalwarming treaty, Kyoto Protocol, global warming"
2001,"Bush allows stem cell research, approving federal funds for studies using existing strains of stem cells (Aug. 9).","stem cell, research","stem cell, stemcell"
2001,"After six months of fighting, a peace agreement is signed between rebels and the Macedonian government (Aug. 13).",macedonian,Macedonian peace
2001,Budget surplus dwindles; some blame the slowing economy and the Bush tax cut (Aug. 22).,"budget, economy, tax",Budget surplus
2001,"Terrorists attack the United States. Hijackers ram jetliners into the twin towers of New York City's World Trade Center and the Pentagon. A fourth hijacked plane crashes 80 mi outside of Pittsburgh. The toll of the dead is more than 3,000. Within days, Islamic militant Osama bin Laden and the al-Qaeda terrorist network are identified as the parties behind the attacks (Sept. 11).","terrorists, hijacker, jetliner, tower, osama, bin, laden, alqaeda","terrorist, terrorism, september 11, twin tower, hijacker, hijacking, sept 11"
2001,"Anthrax scare rivets the nation, as anthrax-laced letters are sent to various media and government officials. Several die after handling the letters (October 5 et seq.).",anthrax,anthrax
2001,"In response to the Sept. 11 terrorist attacks, U.S. and British forces launch a bombing campaign against the Taliban government and al-Qaeda terrorist camps in Afghanistan. Bombings continue on a daily basis (Oct. 7 et seq.).","taliban, alqaeda, afghanistan",taliban
2001,"Irish Republican Army announces that it has begun to dismantle its weapons arsenal, marking a dramatic leap forward in the Northern Ireland peace process (Oct. 23).","irish, ireland","ira disarming, ira"
2001,"Enron Corp., one of the world's largest energy companies, files for bankruptcy (Dec. 2).",enron,"Enron scandal, enron"
2001,"Hamid Karzai, new interim Afghan leader, is sworn in (Dec. 22).",karzai,Hamid Karzai
2002,Defrocked priest John Geoghan convicted of child molestation; church's role in cover-up sparks national outrage (Jan. 18).,geoghan,John Geoghan
2002,"President Bush's first State of Union address labels Iran, Iraq, and North Korea “an axis of evil” (Jan. 29).","iran, iraq, axis","axis evil, north korea, iran, iraq"
2002,Hundreds in India die in Hindu-Muslim clashes (March 2).,"india,  hindu, muslim",HinduMuslim
2002,Saudi peace proposal—offering Israel normal relations with all Arab nations in return for withdrawal from occupied territories—approved at Arab League summit (March 28).,"saudi, arab",Arab Peace
2002,"Venezuelan president Hugo Chavez ousted in a coup, then reinstated (April 12, 14).","venezuelan, chavez, venezuela",Hugo Chavez
2002,"In a letter to the Director, FBI lawyer Coleen Rowley criticizes the FBI for thwarting terrorist efforts (May 21).",fbi,FBI
2002,U.S. abandons 31-year-old Antiballistic Missile treaty (June 13).,antiballistic,"Antiballistic,  Missile treaty, AntiBallistic Missile"
2002,"WorldCom, after admitting to misstating profits, files for bankruptcy—largest claim in U.S. history (July 21).",worldcom,WorldCom
2002,North Korea admits to developing nuclear arms in defiance of the treaty (Oct. 16).,"north korea, nuclear",north korea
2002,"chechen rebels take 763 hostages in a Moscow theater; Russian authorities release gas into the theater, killing 116 hostages and freeing the remaining survivors (Oct. 23–26).",chechen,"Moscow theater, theater hostage, theater siege"
2002,"Snipers prey upon DC suburbs, killing ten and wounding others (Oct. 2–24).",sniper,"Beltway Sniper, sniper attack, sniper"
2002,"archbishop, sexual, abuse, church","archbishop, sexual, abuse, church","Catholic Church, sexual abuse"
